word,meaning,level,ich,du,partizip,hilfsverb,rank,frequency
abfahren,to leave,a11,fahre ab,fährst ab,abgefahren,sein,778.0,1865.0
parken,to park,a12,parke,parkst,geparkt,haben,801.0,1786.0
baden,to bathe,a12,bade,badest,gebadet,haben,806.0,1759.0
aufräumen,to clean up,a11,räume auf,räumst auf,aufgeräumt,haben,840.0,1663.0
angeln,to fish,a12,angle,angelst,geangelt,haben,878.0,1559.0
fotografieren,to take photographs,a11,fotografiere,fotografierst,fotografiert,haben,882.0,1549.0
aufhängen,to hang,a12,hänge auf,hängst auf,aufgehängt,haben,932.0,1400.0
segeln,to sail,a12,segle,segelst,gesegelt,haben,942.0,1371.0
backen,to bake,a11,backe,bäckst,gebacken,haben,959.0,1330.0
anmachen,to turn on,a12,mache an,machst an,angemacht,haben,970.0,1287.0
anmelden,to register,a12,melde an,meldest an,angemeldet,haben,1170.0,919.0
wischen,to wipe,a12,wische,wischst,gewischt,haben,1279.0,787.0
grillen,to grill,a12,grille,grillst,gegrillt,haben,1321.0,747.0
spülen,to wash dishes,a12,spüle,spülst,gespült,haben,1457.0,621.0
abbiegen,to turn,a12,biege ab,biegst ab,abgebogen,haben,1533.0,567.0
buchstabieren,to spell,a11,buchstabiere,buchstabierst,buchstabiert,haben,1678.0,461.0
surfen,to surf,a11,surfe,surfst,gesurft,haben,1734.0,429.0
abwaschen,to do the dishes,a12,wasche ab,wäschst ab,abgewaschen,haben,1868.0,362.0
bügeln,to iron,a12,bügle,bügelst,gebügelt,haben,2040.0,299.0
zelten,to camp,a12,zelte,zeltest,gezeltet,haben,2058.0,293.0
umsteigen,to change,a11,steige um,steigst um,umgestiegen,sein,2476.0,180.0
feststecken,to get stuck,a11,stecke fest,steckst fest,festgesteckt,haben,2577.0,162.0
rausbringen,to bring out,a12,,,,,,
abtrocknen,to dry,a12,,,,,,
staubsaugen,to vacuum,a12,,,,,,
